uid,label,disaster_type,pre_image,post_image,xmin,ymin,xmax,ymax,area
a0303491-13e2-4958-9ef1-3dbd3a4b396d,destroyed,fire,socal-fire_00001259_pre_disaster.png,socal-fire_00001259_post_disaster.png,55,547,87,585,1216
c8bc6ad4-bc33-4461-ad6b-f6416b66240d,destroyed,tsunami,palu-tsunami_00000161_pre_disaster.png,palu-tsunami_00000161_post_disaster.png,490,977,520,1013,1080
7f85e45f-caa6-4cf2-8094-645571337565,destroyed,fire,santa-rosa-wildfire_00000046_pre_disaster.png,santa-rosa-wildfire_00000046_post_disaster.png,594,6,654,51,2700
6345ec32-afd5-4826-9efd-27526e95bcbd,destroyed,fire,socal-fire_00001058_pre_disaster.png,socal-fire_00001058_post_disaster.png,992,174,1022,227,1590
a41861b8-d440-434d-978e-fddf8cfd4e5d,destroyed,fire,santa-rosa-wildfire_00000235_pre_disaster.png,santa-rosa-wildfire_00000235_post_disaster.png,202,642,247,678,1620
10e2bcb9-a217-456f-979b-8161414a102a,destroyed,fire,santa-rosa-wildfire_00000030_pre_disaster.png,santa-rosa-wildfire_00000030_post_disaster.png,650,800,707,866,3762
24c4d1e6-2dfe-4f54-8d20-cf91529f1367,destroyed,fire,santa-rosa-wildfire_00000073_pre_disaster.png,santa-rosa-wildfire_00000073_post_disaster.png,678,739,732,796,3078
a065a12d-7e21-45df-a098-42839751ee14,destroyed,tsunami,palu-tsunami_00000065_pre_disaster.png,palu-tsunami_00000065_post_disaster.png,898,340,941,364,1032
3d4636fe-2e22-4840-a8ee-9d013e8c5b96,destroyed,tsunami,palu-tsunami_00000118_pre_disaster.png,palu-tsunami_00000118_post_disaster.png,248,884,277,928,1276
06e6868c-03de-49f7-8fd5-08cdc249dba8,destroyed,fire,santa-rosa-wildfire_00000046_pre_disaster.png,santa-rosa-wildfire_00000046_post_disaster.png,241,399,319,446,3666
b32892c1-0819-466e-84ca-bba50e14a556,destroyed,tsunami,palu-tsunami_00000030_pre_disaster.png,palu-tsunami_00000030_post_disaster.png,784,131,831,168,1739
d6aa979d-1317-431e-9556-cd3038bb38dc,destroyed,fire,santa-rosa-wildfire_00000325_pre_disaster.png,santa-rosa-wildfire_00000325_post_disaster.png,880,347,977,432,8245
9098b5ba-abe9-4938-801f-645e1e8a03d5,destroyed,wind,hurricane-michael_00000187_pre_disaster.png,hurricane-michael_00000187_post_disaster.png,0,334,33,366,1056
329512b7-c58f-45a1-9656-edeb38b85c41,destroyed,wind,hurricane-michael_00000205_pre_disaster.png,hurricane-michael_00000205_post_disaster.png,171,722,211,749,1080
caa79d1d-4d70-4adc-be76-c353b5f63951,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,746,21,786,62,1640
759b6d91-eff2-49da-bc79-d7af0badfbb5,destroyed,tsunami,palu-tsunami_00000026_pre_disaster.png,palu-tsunami_00000026_post_disaster.png,762,13,820,61,2784
1f7d1b80-037d-45c4-a7ed-a1be8ce963a1,destroyed,tsunami,palu-tsunami_00000066_pre_disaster.png,palu-tsunami_00000066_post_disaster.png,208,694,234,737,1118
3bd18b09-0e31-497d-b0cf-c3e2d179b66c,destroyed,fire,socal-fire_00001268_pre_disaster.png,socal-fire_00001268_post_disaster.png,815,354,885,393,2730
bb442581-9f10-49d6-8a8a-bb1f2859ef0e,destroyed,fire,santa-rosa-wildfire_00000063_pre_disaster.png,santa-rosa-wildfire_00000063_post_disaster.png,650,391,679,429,1102
c9a91803-2f39-48d3-a443-4bbf355a7eb7,destroyed,wind,hurricane-michael_00000017_pre_disaster.png,hurricane-michael_00000017_post_disaster.png,185,699,224,773,2886
c793ddd3-f8e7-4003-8eda-a875177a42ba,destroyed,flooding,hurricane-harvey_00000472_pre_disaster.png,hurricane-harvey_00000472_post_disaster.png,707,776,766,821,2655
7d148dad-ef7e-45dd-a716-2a7648f516cc,destroyed,fire,santa-rosa-wildfire_00000330_pre_disaster.png,santa-rosa-wildfire_00000330_post_disaster.png,826,501,875,579,3822
8e7a8cc0-d116-45e8-baed-ea6b412fbff6,destroyed,fire,santa-rosa-wildfire_00000063_pre_disaster.png,santa-rosa-wildfire_00000063_post_disaster.png,27,109,60,150,1353
01471bb7-8a82-4fb8-85a2-c103db253b1b,destroyed,wind,hurricane-matthew_00000065_pre_disaster.png,hurricane-matthew_00000065_post_disaster.png,114,990,155,1022,1312
b329b2a5-71ef-440b-9832-bb6679123871,destroyed,fire,santa-rosa-wildfire_00000118_pre_disaster.png,santa-rosa-wildfire_00000118_post_disaster.png,48,192,109,247,3355
064dd1b7-ad1f-418e-8783-2872895a2bf2,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,356,980,396,1022,1680
a28b0632-0fc4-49a8-bd92-3cba84c6fda3,destroyed,wind,hurricane-matthew_00000125_pre_disaster.png,hurricane-matthew_00000125_post_disaster.png,382,323,416,357,1156
702d4699-3e2b-47a2-a236-1f988c4750b2,destroyed,fire,santa-rosa-wildfire_00000190_pre_disaster.png,santa-rosa-wildfire_00000190_post_disaster.png,735,531,809,617,6364
13bd7147-b593-4014-8671-bd9d0438258d,destroyed,tsunami,palu-tsunami_00000025_pre_disaster.png,palu-tsunami_00000025_post_disaster.png,245,913,284,940,1053
c7bb6610-a238-4d24-823a-b16726e7da91,destroyed,fire,santa-rosa-wildfire_00000260_pre_disaster.png,santa-rosa-wildfire_00000260_post_disaster.png,7,514,81,556,3108
e12239a2-0026-410d-9b3f-6cc26e08eb89,destroyed,fire,santa-rosa-wildfire_00000124_pre_disaster.png,santa-rosa-wildfire_00000124_post_disaster.png,560,253,608,303,2400
00e427b5-70e3-43f5-a10b-eda49555aa6c,destroyed,flooding,hurricane-harvey_00000406_pre_disaster.png,hurricane-harvey_00000406_post_disaster.png,353,908,394,951,1763
0412a7b3-5298-4a88-89ac-43029d055cf0,destroyed,fire,santa-rosa-wildfire_00000049_pre_disaster.png,santa-rosa-wildfire_00000049_post_disaster.png,923,896,981,958,3596
2f4781bd-3cbd-4ab8-8082-79c29921e985,destroyed,fire,santa-rosa-wildfire_00000044_pre_disaster.png,santa-rosa-wildfire_00000044_post_disaster.png,798,911,854,958,2632
fc756e3f-986a-40c6-8cdc-3188c93c1569,destroyed,flooding,hurricane-harvey_00000393_pre_disaster.png,hurricane-harvey_00000393_post_disaster.png,954,813,988,860,1598
691cec31-41fa-40e8-8d18-87ac89ffd7d9,destroyed,fire,socal-fire_00000510_pre_disaster.png,socal-fire_00000510_post_disaster.png,588,539,617,580,1189
ce783cfc-ffa8-4824-98f4-498d4f2c21b5,destroyed,fire,santa-rosa-wildfire_00000006_pre_disaster.png,santa-rosa-wildfire_00000006_post_disaster.png,879,274,917,307,1254
4aa7aa00-e7c2-4d82-90f0-09df134e4901,destroyed,tsunami,palu-tsunami_00000189_pre_disaster.png,palu-tsunami_00000189_post_disaster.png,44,390,108,425,2240
e16e1f13-3bbe-4555-9354-9e168d6105c4,destroyed,tsunami,palu-tsunami_00000118_pre_disaster.png,palu-tsunami_00000118_post_disaster.png,658,239,688,278,1170
c57d0413-1642-4cf1-8471-120fa8476fe9,destroyed,tsunami,palu-tsunami_00000125_pre_disaster.png,palu-tsunami_00000125_post_disaster.png,60,14,96,50,1296
3223ead0-67ad-49da-bbd7-1fadd8dda8b1,destroyed,tsunami,palu-tsunami_00000073_pre_disaster.png,palu-tsunami_00000073_post_disaster.png,539,412,595,456,2464
052323e5-220e-4776-90e8-eab522f7ce51,destroyed,fire,santa-rosa-wildfire_00000036_pre_disaster.png,santa-rosa-wildfire_00000036_post_disaster.png,322,384,381,420,2124
279b121d-05dc-49fb-9144-9cd2819f3f57,destroyed,fire,socal-fire_00000792_pre_disaster.png,socal-fire_00000792_post_disaster.png,297,441,361,481,2560
fa5415b8-e002-427b-acdc-f77219a71a34,destroyed,tsunami,palu-tsunami_00000020_pre_disaster.png,palu-tsunami_00000020_post_disaster.png,37,827,64,865,1026
9a06db13-19fe-4103-90be-83d9e1e31b12,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,210,699,252,743,1848
c569c206-623c-4e40-9225-30bd5e5a1cd7,destroyed,fire,santa-rosa-wildfire_00000049_pre_disaster.png,santa-rosa-wildfire_00000049_post_disaster.png,708,743,773,801,3770
85208a1f-7024-46ad-bb3c-9cedcc59838a,destroyed,fire,santa-rosa-wildfire_00000111_pre_disaster.png,santa-rosa-wildfire_00000111_post_disaster.png,681,521,730,543,1078
52d79254-3c90-4331-a09a-dcab625f5ea9,destroyed,tsunami,palu-tsunami_00000118_pre_disaster.png,palu-tsunami_00000118_post_disaster.png,739,246,778,276,1170
41fd4266-a39b-4c8c-bdff-d5ffaee9ff20,destroyed,fire,santa-rosa-wildfire_00000111_pre_disaster.png,santa-rosa-wildfire_00000111_post_disaster.png,543,400,595,459,3068
ef50bf74-ebc5-4448-afef-ecd1115008b3,destroyed,wind,hurricane-matthew_00000306_pre_disaster.png,hurricane-matthew_00000306_post_disaster.png,85,44,121,83,1404
1ae20e06-e9ae-49e6-b9ab-196d07f3fefd,destroyed,fire,santa-rosa-wildfire_00000036_pre_disaster.png,santa-rosa-wildfire_00000036_post_disaster.png,458,330,503,370,1800
154f171e-04e4-4e72-a00f-8a4323021154,destroyed,fire,santa-rosa-wildfire_00000047_pre_disaster.png,santa-rosa-wildfire_00000047_post_disaster.png,764,877,806,923,1932
d99673b2-a97d-4844-8c45-4c16b9a75933,destroyed,fire,santa-rosa-wildfire_00000023_pre_disaster.png,santa-rosa-wildfire_00000023_post_disaster.png,980,15,1022,54,1638
f011b605-0de7-44fb-8b09-5ac97a87cfa0,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,167,427,213,467,1840
30107b35-389d-4deb-bfd4-cbcee47ebe36,destroyed,fire,santa-rosa-wildfire_00000075_pre_disaster.png,santa-rosa-wildfire_00000075_post_disaster.png,967,26,1022,82,3080
6a8363bf-4088-424e-8973-2c855ca3f507,destroyed,tsunami,palu-tsunami_00000115_pre_disaster.png,palu-tsunami_00000115_post_disaster.png,1,39,31,76,1110
634dd440-4f0d-4362-9d26-3bf0a4e70471,destroyed,fire,socal-fire_00000221_pre_disaster.png,socal-fire_00000221_post_disaster.png,858,304,900,338,1428
c71115fa-6f16-444d-b617-55020866f87a,destroyed,fire,santa-rosa-wildfire_00000220_pre_disaster.png,santa-rosa-wildfire_00000220_post_disaster.png,4,708,81,758,3850
2e76b94f-cba4-49dd-be33-a007cee9e9c0,destroyed,fire,santa-rosa-wildfire_00000170_pre_disaster.png,santa-rosa-wildfire_00000170_post_disaster.png,654,255,706,337,4264
0129be88-b1fe-4043-a512-c6d6c15aae98,destroyed,wind,hurricane-michael_00000124_pre_disaster.png,hurricane-michael_00000124_post_disaster.png,140,648,172,686,1216
457a81d4-119d-46dd-95f6-8bb06c306adf,destroyed,fire,santa-rosa-wildfire_00000007_pre_disaster.png,santa-rosa-wildfire_00000007_post_disaster.png,947,252,981,294,1428
7609efc9-5834-4176-a6a7-7e0eb241d45b,destroyed,tsunami,palu-tsunami_00000178_pre_disaster.png,palu-tsunami_00000178_post_disaster.png,152,37,193,70,1353
3e35cf73-f58c-4bea-8c87-065f91e13a0a,destroyed,fire,santa-rosa-wildfire_00000280_pre_disaster.png,santa-rosa-wildfire_00000280_post_disaster.png,745,652,803,693,2378
b4d6de7d-9a93-4e8d-a882-1841900b413f,destroyed,tsunami,palu-tsunami_00000118_pre_disaster.png,palu-tsunami_00000118_post_disaster.png,501,625,535,668,1462
af94f9e2-0238-4678-91b9-e0b0e606fee0,destroyed,fire,santa-rosa-wildfire_00000124_pre_disaster.png,santa-rosa-wildfire_00000124_post_disaster.png,328,396,388,456,3600
6c72ee32-cb85-4473-85fb-3b4c4a6de2d1,destroyed,wind,hurricane-michael_00000295_pre_disaster.png,hurricane-michael_00000295_post_disaster.png,255,603,339,703,8400
3f640893-9afb-4b44-bb15-fe0bcc56e0ca,destroyed,fire,santa-rosa-wildfire_00000088_pre_disaster.png,santa-rosa-wildfire_00000088_post_disaster.png,667,794,735,846,3536
1e9036c3-ae3e-43ed-afc4-0b220e9f2501,destroyed,fire,santa-rosa-wildfire_00000235_pre_disaster.png,santa-rosa-wildfire_00000235_post_disaster.png,374,223,407,261,1254
8374fbf6-9c71-4399-a946-1bd4c553e074,destroyed,fire,santa-rosa-wildfire_00000096_pre_disaster.png,santa-rosa-wildfire_00000096_post_disaster.png,155,506,240,545,3315
73730e08-5daf-48d9-995d-48670501cbc4,destroyed,flooding,hurricane-harvey_00000472_pre_disaster.png,hurricane-harvey_00000472_post_disaster.png,696,694,752,735,2296
8dc3e498-1d66-45ef-b4d6-b04f9769db19,destroyed,wind,hurricane-matthew_00000082_pre_disaster.png,hurricane-matthew_00000082_post_disaster.png,639,644,677,677,1254
3ab2987f-a606-4f93-a08b-b7af952411d8,destroyed,tsunami,palu-tsunami_00000118_pre_disaster.png,palu-tsunami_00000118_post_disaster.png,125,800,158,839,1287
6ff71f46-d1b0-4697-9499-4dc48c1a7ec9,destroyed,fire,santa-rosa-wildfire_00000063_pre_disaster.png,santa-rosa-wildfire_00000063_post_disaster.png,586,973,623,1003,1110
d898074d-c30b-416e-911b-d06c4f1aabf3,destroyed,tsunami,palu-tsunami_00000002_pre_disaster.png,palu-tsunami_00000002_post_disaster.png,182,867,228,919,2392
9d56fc6e-915a-4cd5-abd5-eaab7f680275,destroyed,fire,santa-rosa-wildfire_00000063_pre_disaster.png,santa-rosa-wildfire_00000063_post_disaster.png,36,347,89,410,3339
983ee218-5011-4911-b5dc-62a6a5674c62,destroyed,fire,socal-fire_00001075_pre_disaster.png,socal-fire_00001075_post_disaster.png,151,148,202,194,2346
ccb4e051-afdb-4616-b0a0-b75d68e95786,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,291,23,326,64,1435
fa0436e6-8fa9-462d-9484-1729a7c98cc3,destroyed,fire,santa-rosa-wildfire_00000268_pre_disaster.png,santa-rosa-wildfire_00000268_post_disaster.png,83,856,168,934,6630
35eee381-4a1f-4d04-a582-62f672ce1b99,destroyed,fire,santa-rosa-wildfire_00000058_pre_disaster.png,santa-rosa-wildfire_00000058_post_disaster.png,969,988,1005,1022,1224
d275fa35-717a-446f-baad-57ffef866265,destroyed,fire,santa-rosa-wildfire_00000098_pre_disaster.png,santa-rosa-wildfire_00000098_post_disaster.png,607,458,654,526,3196
ae6fec0b-24f8-4701-8e64-529a3ca150f1,destroyed,flooding,hurricane-harvey_00000493_pre_disaster.png,hurricane-harvey_00000493_post_disaster.png,823,519,858,552,1155
eacdba34-ff99-4851-8731-77c03c1a36f7,destroyed,tsunami,palu-tsunami_00000030_pre_disaster.png,palu-tsunami_00000030_post_disaster.png,748,251,802,286,1890
2d3f8841-3efc-4a6b-a2fa-0f8b9e9c547c,destroyed,wind,hurricane-michael_00000180_pre_disaster.png,hurricane-michael_00000180_post_disaster.png,889,353,924,389,1260
7f82fdc4-9eb0-497b-9c72-a1438f52177a,destroyed,fire,santa-rosa-wildfire_00000084_pre_disaster.png,santa-rosa-wildfire_00000084_post_disaster.png,796,719,840,745,1144
222c6606-a7d9-4a6f-9e71-bdc8e58e68e3,destroyed,fire,socal-fire_00000494_pre_disaster.png,socal-fire_00000494_post_disaster.png,907,0,969,29,1798
f0fb5b49-b99d-4012-b485-ce2f6b2add58,destroyed,fire,santa-rosa-wildfire_00000006_pre_disaster.png,santa-rosa-wildfire_00000006_post_disaster.png,773,152,831,216,3712
53a8c5a2-8c49-4c7e-b144-b796cfcf32c1,destroyed,fire,santa-rosa-wildfire_00000015_pre_disaster.png,santa-rosa-wildfire_00000015_post_disaster.png,589,184,632,235,2193
cc2c4880-ea09-4c00-9ebd-7821b02f2eeb,destroyed,fire,santa-rosa-wildfire_00000124_pre_disaster.png,santa-rosa-wildfire_00000124_post_disaster.png,435,103,493,143,2320
36fc5d79-967b-44b8-b026-d3054f38a04f,destroyed,fire,santa-rosa-wildfire_00000046_pre_disaster.png,santa-rosa-wildfire_00000046_post_disaster.png,97,458,164,507,3283
975ccb3e-8b48-4e16-a5fa-59e30ecc80ea,destroyed,tsunami,palu-tsunami_00000047_pre_disaster.png,palu-tsunami_00000047_post_disaster.png,195,551,232,594,1591
f673d312-3c5a-4001-8294-204633f5bc97,destroyed,fire,santa-rosa-wildfire_00000369_pre_disaster.png,santa-rosa-wildfire_00000369_post_disaster.png,804,380,841,442,2294
19c98940-7327-4066-949d-0a2c06b81ab3,destroyed,fire,santa-rosa-wildfire_00000036_pre_disaster.png,santa-rosa-wildfire_00000036_post_disaster.png,619,130,671,178,2496
9596b3c3-5b3d-4465-98e7-c71570044eaa,destroyed,flooding,hurricane-harvey_00000472_pre_disaster.png,hurricane-harvey_00000472_post_disaster.png,702,736,749,778,1974
e186c5e6-a904-4ef9-923d-46a8a24f1861,destroyed,fire,santa-rosa-wildfire_00000124_pre_disaster.png,santa-rosa-wildfire_00000124_post_disaster.png,712,610,761,668,2842
16296eb1-eb03-47b2-95bf-4682f2d33e70,destroyed,fire,santa-rosa-wildfire_00000280_pre_disaster.png,santa-rosa-wildfire_00000280_post_disaster.png,232,900,268,932,1152
62fc1817-60e0-4bf4-88cf-d4d6823d0e0f,destroyed,fire,santa-rosa-wildfire_00000075_pre_disaster.png,santa-rosa-wildfire_00000075_post_disaster.png,382,249,418,303,1944
18f564f4-c506-4ee7-91c8-a6e8bcd0ef8a,destroyed,wind,hurricane-michael_00000204_pre_disaster.png,hurricane-michael_00000204_post_disaster.png,632,766,669,802,1332
9c6f771d-841d-4832-8a0a-8778f14d26a9,destroyed,tsunami,palu-tsunami_00000182_pre_disaster.png,palu-tsunami_00000182_post_disaster.png,6,492,43,540,1776
4ebd668b-8e8b-46cf-89b7-11ffc6524227,destroyed,wind,hurricane-michael_00000212_pre_disaster.png,hurricane-michael_00000212_post_disaster.png,449,789,506,845,3192
75de642a-33ea-4f87-ade1-efaf5d412513,destroyed,flooding,hurricane-harvey_00000369_pre_disaster.png,hurricane-harvey_00000369_post_disaster.png,747,909,811,962,3392
d2644091-1e42-49fc-b17a-ba08fc245859,destroyed,fire,santa-rosa-wildfire_00000344_pre_disaster.png,santa-rosa-wildfire_00000344_post_disaster.png,0,344,53,404,3180
81ff9874-be0e-4515-bce5-ac1cf3af9fc2,destroyed,fire,santa-rosa-wildfire_00000049_pre_disaster.png,santa-rosa-wildfire_00000049_post_disaster.png,625,286,682,327,2337
4294a7e8-d0e6-4cf6-9149-c013b3b4de78,destroyed,tsunami,palu-tsunami_00000020_pre_disaster.png,palu-tsunami_00000020_post_disaster.png,45,777,103,815,2204
3503e7d4-65b9-4781-a75d-8316aab82031,destroyed,fire,santa-rosa-wildfire_00000324_pre_disaster.png,santa-rosa-wildfire_00000324_post_disaster.png,690,165,738,217,2496
a9cc79fe-edd6-4d8a-96a9-9fc4d1873e09,destroyed,fire,santa-rosa-wildfire_00000049_pre_disaster.png,santa-rosa-wildfire_00000049_post_disaster.png,435,939,510,1001,4650
429f130c-06f7-47ea-a82a-6192f9e2a289,destroyed,tsunami,palu-tsunami_00000034_pre_disaster.png,palu-tsunami_00000034_post_disaster.png,680,948,824,984,5184
0b1030b9-a3ab-449a-8d23-3cf749315edf,destroyed,fire,santa-rosa-wildfire_00000370_pre_disaster.png,santa-rosa-wildfire_00000370_post_disaster.png,251,547,325,615,5032
86aa19de-62a3-4df7-963f-b806172d48e6,destroyed,wind,hurricane-michael_00000211_pre_disaster.png,hurricane-michael_00000211_post_disaster.png,822,636,856,675,1326
6d3db819-e422-4522-b44a-4abf3a23ee70,destroyed,fire,santa-rosa-wildfire_00000031_pre_disaster.png,santa-rosa-wildfire_00000031_post_disaster.png,492,637,547,717,4400
6ed6b1cb-df15-4533-a33e-209ccc113a5c,destroyed,fire,santa-rosa-wildfire_00000129_pre_disaster.png,santa-rosa-wildfire_00000129_post_disaster.png,292,596,355,649,3339
9bf29aff-4f03-4cb8-a11b-be3589687998,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,133,434,177,483,2156
a7502709-3a28-40c4-9c85-95b721669561,destroyed,fire,socal-fire_00001001_pre_disaster.png,socal-fire_00001001_post_disaster.png,324,187,377,224,1961
ecb06894-1d25-4245-8c80-df33089782d8,destroyed,fire,socal-fire_00000525_pre_disaster.png,socal-fire_00000525_post_disaster.png,46,283,121,339,4200
4ec95ef4-1d50-4ea3-a864-514e21b1d4d5,destroyed,fire,santa-rosa-wildfire_00000079_pre_disaster.png,santa-rosa-wildfire_00000079_post_disaster.png,60,360,86,400,1040
4e1f6399-df57-4056-b3ed-468180c81395,destroyed,fire,santa-rosa-wildfire_00000006_pre_disaster.png,santa-rosa-wildfire_00000006_post_disaster.png,989,482,1022,547,2145
6cee6fd3-8966-4bcf-9b82-685d9957bfee,destroyed,tsunami,palu-tsunami_00000047_pre_disaster.png,palu-tsunami_00000047_post_disaster.png,230,623,270,663,1600
16026e7b-263e-4ebb-a02d-f0ebc19aa72a,destroyed,fire,santa-rosa-wildfire_00000035_pre_disaster.png,santa-rosa-wildfire_00000035_post_disaster.png,642,114,678,149,1260
ae932f3f-db7f-419c-8c1c-33d9cd615283,destroyed,fire,santa-rosa-wildfire_00000084_pre_disaster.png,santa-rosa-wildfire_00000084_post_disaster.png,905,576,982,645,5313
43be2b8f-bed9-426b-aed3-3dce095142f2,destroyed,fire,santa-rosa-wildfire_00000161_pre_disaster.png,santa-rosa-wildfire_00000161_post_disaster.png,406,477,449,526,2107
b2069116-7d73-4c9d-9566-1c112392b007,destroyed,fire,santa-rosa-wildfire_00000308_pre_disaster.png,santa-rosa-wildfire_00000308_post_disaster.png,295,283,380,353,5950
1cc01256-f000-4335-aa70-4f4f15a5b004,destroyed,fire,santa-rosa-wildfire_00000046_pre_disaster.png,santa-rosa-wildfire_00000046_post_disaster.png,378,627,439,680,3233
788253a3-578b-45da-b41b-c31d5da62c9d,destroyed,fire,santa-rosa-wildfire_00000031_pre_disaster.png,santa-rosa-wildfire_00000031_post_disaster.png,168,103,244,152,3724
60ad1960-6b0f-4de3-b4ac-425c0eab1513,destroyed,tsunami,palu-tsunami_00000047_pre_disaster.png,palu-tsunami_00000047_post_disaster.png,563,759,618,793,1870
cf289a02-22c3-4520-8621-6be8e1cdbce3,destroyed,tsunami,palu-tsunami_00000178_pre_disaster.png,palu-tsunami_00000178_post_disaster.png,983,20,1021,47,1026
7891bd37-301b-47a4-a4dd-9c075135939e,destroyed,tsunami,palu-tsunami_00000020_pre_disaster.png,palu-tsunami_00000020_post_disaster.png,111,800,181,839,2730
39d70208-cfa7-4739-a31c-efbab4802e67,destroyed,tsunami,palu-tsunami_00000178_pre_disaster.png,palu-tsunami_00000178_post_disaster.png,696,85,724,124,1092
7db124a8-87a8-4f08-984c-249d8291f97f,destroyed,fire,santa-rosa-wildfire_00000058_pre_disaster.png,santa-rosa-wildfire_00000058_post_disaster.png,880,112,913,163,1683
b7ed206f-3042-48e4-9177-c931182266cf,destroyed,tsunami,palu-tsunami_00000125_pre_disaster.png,palu-tsunami_00000125_post_disaster.png,42,327,82,353,1040
2f4d5caf-03e3-41e8-a44c-a0e861de69d6,destroyed,fire,santa-rosa-wildfire_00000084_pre_disaster.png,santa-rosa-wildfire_00000084_post_disaster.png,260,512,288,556,1232
